Country_x,Happiness score,Whisker-high,Whisker-low,Dystopia (1.88) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,ISO3,Competetiveness Rank / 141,Country / Economy,Value(0–100),Country or Territory,Freedom Status,PR,CL,Freedom Rating,Aggregate Score,GDP Rank,Country_y,2017,2018,t2w,Absolute change,Rank change,Continent,Economy,Business Rank,Starting a Business,Dealing with Construction Permits,Getting Electricity,Registering Property,Getting Credit,Protecting Minority Investors,Paying Taxes,Trading across Borders,Enforcing Contracts,Resolving Insolvency,Country_x,LawRank,GovernmentPowers,Absenceof Corruption,OpenGovernment,FundamentalRights,Orderand Security,RegulatoryEnforcement,CivilJustice,CriminalJustice,OverallScore,ScienceRank,Country_y,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,CountryName,CapitalName,CapitalLatitude,CapitalLongitude,CountryCode,ContinentName,HDI Rank (2017),Country,Freedom Rank
Finland,7.76889991760254,7.82988786697388,7.7079119682312,2.71367788314819,1.34024286270142,1.5872757434845,0.986144959926605,0.595895349979401,0.152708426117897,0.392912715673447,FIN,11,Finland,80.2,Finland,,1,1,1.0,100,26,Finland,"44,492.2","46,559.2",2.57,"2,067.0",+1,Europe,Finland,17,43,34,25,28,60,72,11,34,46,2,Finland,3/126,0.92,0.89,0.87,0.92,0.92,0.84,0.8,0.84,0.87,37,Finland,21438,18750,20352,4513,0.95,609,Finland,Helsinki,60.16666666666666,24.933332999999998,FI,Europe,15,Finland,110.0
Denmark,7.60010004043579,7.66665840148926,7.53354167938232,2.39289093017578,1.38343858718872,1.57259500026703,0.996018886566162,0.592356085777283,0.252319991588593,0.410473197698593,DNK,10,Denmark,81.2,Denmark,,1,1,1.0,97,22,Denmark,"50,071.5","51,840.7",2.86,"1,769.2",-1,Europe,Denmark,3,42,4,21,11,44,38,9,1,14,6,Denmark,1/126,0.95,0.95,0.86,0.92,0.93,0.9,0.87,0.83,0.9,25,Denmark,29572,25662,32943,6787,1.11,705,Denmark,Copenhagen,55.66666666666666,12.583333,DK,Europe,11,Denmark,102.0
Norway,7.55389976501465,7.61563920974731,7.49216032028198,2.24076414108276,1.48776698112488,1.58154833316803,1.0281229019165,0.603499829769135,0.271304190158844,0.340883523225784,NOR,17,Norway,78.1,Norway,,1,1,1.0,100,7,Norway,"72,057.6","74,318.3",4.10,"2,260.7",0,Europe,Norway,7,22,22,19,13,85,15,30,22,3,5,Norway,2/126,0.94,0.94,0.88,0.9,0.93,0.87,0.85,0.83,0.89,31,Norway,24349,21017,21765,5118,0.89,580,Norway,Oslo,59.91666666666666,10.75,NO,Europe,1,Norway,110.0
Netherlands,7.48759984970093,7.54209804534912,7.43310165405273,2.39289474487305,1.39602041244507,1.52190339565277,0.999313712120056,0.557075202465057,0.322439581155777,0.297978073358536,NLD,4,Netherlands,82.4,Netherlands,,1,1,1.0,99,14,Netherlands,"53,933.0","56,570.8",3.12,"2,637.8",+1,Europe,Netherlands,36,22,84,56,31,112,72,21,1,74,7,Netherlands,5/126,0.86,0.88,0.82,0.84,0.85,0.86,0.86,0.76,0.84,15,Netherlands,63193,53784,67657,15349,1.07,957,Netherlands,Amsterdam,52.35,4.9166669999999995,NL,Europe,10,Netherlands,107.0
Sweden,7.34329986572266,7.41633272171021,7.27026700973511,2.24552726745605,1.3865772485733,1.48730671405792,1.00920295715332,0.574420392513275,0.267024308443069,0.373202174901962,SWE,8,Sweden,81.2,Sweden,,1,1,1.0,100,19,Sweden,"51,185.0","52,718.8",2.91,"1,533.7",-2,Europe,Sweden,12,18,25,9,10,85,33,27,18,38,17,Sweden,4/126,0.87,0.91,0.86,0.86,0.88,0.85,0.81,0.81,0.85,20,Sweden,43956,38073,43731,9277,0.99,825,Sweden,Stockholm,59.33333333333334,18.05,SE,Europe,7,Sweden,110.0
New Zealand,7.30749988555908,7.38289213180542,7.23210763931274,2.12679147720337,1.30258631706238,1.55723392963409,1.02563524246216,0.585146486759186,0.329842686653137,0.380280941724777,NZL,19,New Zealand,76.7,New Zealand,,1,1,1.0,98,34,New Zealand,"39,012.1","40,266.5",2.22,"1,254.4",0,Oceania,New Zealand,1,1,6,45,1,1,2,10,60,21,31,New Zealand,8/126,0.85,0.87,0.81,0.8,0.89,0.85,0.78,0.72,0.82,41,New Zealand,17150,14252,13862,3142,0.81,495,New Zealand,Wellington,-41.3,174.783333,NZ,Australia,16,New Zealand,105.0
Canada,7.27810001373291,7.35653877258301,7.19966125488281,2.19268846511841,1.36489605903625,1.50474095344543,1.0388115644455,0.583951890468597,0.285020351409912,0.308037906885147,CAN,14,Canada,79.6,Canada,,1,1,1.0,99,24,Canada,"48,389.5","49,935.6",2.76,"1,546.0",0,North America,Canada,22,3,63,121,34,12,11,19,50,96,13,Canada,9/126,0.85,0.83,0.81,0.83,0.91,0.81,0.7,0.73,0.81,9,Canada,111561,95047,94958,24325,0.85,1102,Canada,Ottawa,45.41666666666666,-75.7,CA,Central America,12,Canada,107.0
Austria,7.24599981307983,7.31284141540527,7.17915821075439,2.37754821777344,1.3755419254303,1.47522246837616,1.01577663421631,0.532074809074402,0.243566691875458,0.226221069693565,AUT,21,Austria,76.6,Austria,,1,1,1.0,93,21,Austria,"50,031.0","52,224.5",2.88,"2,193.5",+1,Europe,Austria,26,118,42,28,32,85,33,40,1,10,21,Austria,7/126,0.84,0.84,0.72,0.85,0.9,0.84,0.78,0.8,0.82,26,Austria,26756,23107,27433,5632,1.03,620,Austria,Vienna,48.2,16.366667,AT,Europe,20,Austria,93.0
Australia,7.22800016403198,7.31458759307861,7.14141273498535,2.09428691864014,1.37154543399811,1.54795742034912,1.03553199768066,0.557171642780304,0.331549167633057,0.28996217250824,AUS,16,Australia,78.7,Australia,,1,1,1.0,98,20,Australia,"50,390.9","52,363.0",2.89,"1,972.1",0,Oceania,Australia,18,7,9,52,50,8,64,26,103,5,20,Australia,11/126,0.83,0.81,0.82,0.79,0.87,0.81,0.76,0.73,0.8,10,Australia,106228,89153,99374,28632,0.94,914,Australia,Canberra,-35.266666666666666,149.133333,AU,Australia,3,Australia,105.0
Costa Rica,7.16739988327026,7.25420761108398,7.08059215545654,2.93298578262329,1.03424954414368,1.44112074375153,0.963105738162994,0.558035373687744,0.144398003816605,0.093470610678196,CRI,62,Costa Rica,62.0,Costa Rica,,1,1,1.0,91,82,Costa Rica,"16,894.2","17,644.7",0.974,750.5,-1,North America,Costa Rica,67,142,74,38,47,12,122,57,73,121,134,Costa Rica,24/126,0.78,0.68,0.71,0.78,0.69,0.68,0.62,0.55,0.69,94,Costa Rica,1171,1054,735,128,0.63,173,Costa Rica,San Jose,9.933333333333334,-84.083333,CR,Central America,63,Costa Rica,91.0
United Kingdom,7.05369997024536,7.12564945220947,6.98175048828125,2.11173391342163,1.33295249938965,1.53758502006531,0.996017873287201,0.449522078037262,0.348246276378632,0.277595162391663,GBR,9,United Kingdom,81.2,United Kingdom,,1,1,1.0,93,28,United Kingdom,"44,292.2","45,642.8",2.52,"1,350.6",0,Europe,United Kingdom,9,19,17,7,42,32,15,23,30,32,14,United Kingdom,12/126,0.84,0.83,0.8,0.82,0.85,0.82,0.73,0.75,0.8,3,United Kingdom,211710,172148,187806,60392,0.89,1373,United Kingdom,London,51.5,-0.083333,GB,Europe,14,United Kingdom,93.0
Germany,6.9850001335144,7.04512548446655,6.92487478256226,2.14980316162109,1.37257170677185,1.45398390293121,0.986962854862213,0.4952771961689,0.261470586061478,0.264979004859924,DEU,7,Germany,81.8,Germany,,1,1,1.0,94,18,Germany,"50,803.6","52,896.6",2.92,"2,093.1",0,Europe,Germany,24,114,24,5,78,44,72,43,40,26,4,Germany,6/126,0.85,0.82,0.79,0.85,0.89,0.85,0.86,0.78,0.84,4,Germany,180608,158437,154187,54430,0.85,1203,Germany,Berlin,52.51666666666666,13.4,DE,Europe,5,Germany,98.0
Belgium,6.9229998588562,6.98840618133545,6.85759353637695,2.23487949371338,1.35567367076874,1.50430619716644,0.986164271831512,0.472559094429016,0.159797638654709,0.209665030241013,BEL,22,Belgium,76.4,Belgium,,1,1,1.0,96,25,Belgium,"46,621.3","48,178.7",2.66,"1,557.4",0,Europe,Belgium,45,33,38,112,143,60,57,60,1,54,8,Belgium,14/126,0.83,0.8,0.77,0.84,0.81,0.81,0.76,0.72,0.79,22,Belgium,35099,30295,35709,7162,1.02,748,Belgium,Brussels,50.83333333333334,4.3333330000000005,BE,Europe,17,Belgium,101.0
United States,6.89230012893677,6.98623371124268,6.79836654663086,2.26614236831665,1.43278872966766,1.45733642578125,0.874216496944428,0.454156041145325,0.27990260720253,0.127734676003456,USA,2,United States,83.7,United States,,2,1,1.5,86,12,United States,"59,792.0","62,517.5",3.45,"2,725.5",+1,North America,United States,8,53,26,54,38,3,50,37,36,16,3,United States,20/126,0.73,0.74,0.77,0.72,0.76,0.73,0.64,0.63,0.71,1,United States,683003,570104,528530,268883,0.77,2222,United States,Washington D.C.,38.883333,-77.0,US,Central America,13,United States,85.0
