Competetiveness Rank / 141	Country / Economy	Value(0–100)
1	Singapore	84.8
2	United States	83.7
3	Hong Kong SAR	83.1
4	Netherlands	82.4
5	Switzerland	82.3
6	Japan	82.3
7	Germany	81.8
8	Sweden	81.2
9	United Kingdom	81.2
10	Denmark	81.2
11	Finland	80.2
12	Taiwan, China	80.2
13	South Korea	79.6
14	Canada	79.6
15	France	78.8
16	Australia	78.7
17	Norway	78.1
18	Luxembourg	77.0
19	New Zealand	76.7
20	Israel	76.7
21	Austria	76.6
22	Belgium	76.4
23	Spain	75.3
24	Ireland	75.1
25	United Arab Emirates	75.0
26	Iceland	74.7
27	Malaysia	74.6
28	China	73.9
29	Qatar	72.9
30	Italy	71.5
31	Estonia	70.9
32	Czech Republic	70.9
33	Chile	70.5
34	Portugal	70.4
35	Slovenia	70.2
36	Saudi Arabia	70.0
37	Poland	68.9
38	Malta	68.5
39	Lithuania	68.4
40	Thailand	68.1
41	Latvia	67.0
42	Slovakia	66.8
43	Russia	66.7
44	Cyprus	66.4
45	Bahrain	65.4
46	Kuwait	65.1
47	Hungary	65.1
48	Mexico	64.9
49	Bulgaria	64.9
50	Indonesia	64.6
51	Romania	64.4
52	Mauritius	64.3
53	Oman	63.6
54	Uruguay	63.5
55	Kazakhstan	62.9
56	Brunei Darussalam	62.8
57	Colombia	62.7
58	Azerbaijan	62.7
59	Greece	62.6
60	South Africa	62.4
61	Turkey	62.1
62	Costa Rica	62.0
63	Croatia	61.9
64	Philippines	61.9
65	Peru	61.7
66	Panama	61.6
67	Viet Nam	61.5
68	India	61.4
69	Armenia	61.3
70	Jordan	60.9
71	Brazil	60.9
72	Serbia	60.9
73	Montenegro	60.8
74	Georgia	60.6
75	Morocco	60.0
76	Seychelles	59.6
77	Barbados	58.9
78	Dominican Republic	58.3
79	Trinidad and Tobago	58.3
80	Jamaica	58.3
81	Albania	57.6
82	Macedonia	57.3
83	Argentina	57.2
84	Sri Lanka	57.1
85	Ukraine	57.0
86	Moldova	56.7
87	Tunisia	56.4
88	Lebanon	56.3
89	Algeria	56.3
90	Ecuador	55.7
91	Botswana	55.5
92	Bosnia and Herzegovina	54.7
93	Egypt	54.5
94	Namibia	54.5
95	Kenya	54.1
96	Kyrgyzstan	54.0
97	Paraguay	53.6
98	Guatemala	53.5
99	Iran	53.0
100	Rwanda	52.8
101	Honduras	52.6
102	Mongolia	52.6
103	El Salvador	52.6
104	Tajikistan	52.4
105	Bangladesh	52.1
106	Cambodia	52.1
107	Bolivia	51.8
108	Nepal	51.6
109	Nicaragua	51.5
110	Pakistan	51.4
111	Ghana	51.2
112	Cape Verde	50.8
113	Lao PDR	50.1
114	Senegal	49.7
115	Uganda	48.9
116	Nigeria	48.3
117	Tanzania	48.2
118	Côte d'Ivoire	48.1
119	Gabon	47.5
120	Zambia	46.5
121	Eswatini	46.4
122	Guinea	46.1
123	Cameroon	46.0
124	Gambia	45.9
125	Benin	45.8
126	Ethiopia	44.4
127	Zimbabwe	44.2
128	Malawi	43.7
129	Mali	43.6
130	Burkina Faso	43.4
131	Lesotho	42.9
132	Madagascar	42.9
133	Venezuela	41.8
134	Mauritania	40.9
135	Burundi	40.3
136	Angola	38.1
137	Mozambique	38.1
138	Haiti	36.3
139	Congo, Democratic Rep.	36.1
140	Yemen	35.5
141	Chad	35.1
