Country	LawRank	GovernmentPowers	Absenceof Corruption	OpenGovernment	FundamentalRights	Orderand Security	RegulatoryEnforcement	CivilJustice	CriminalJustice	OverallScore
Afghanistan	123/126	0.43	0.28	0.37	0.4	0.3	0.35	0.38	0.28	0.35
Albania	71/126	0.49	0.35	0.46	0.61	0.79	0.44	0.44	0.47	0.51
Algeria	72/126	0.48	0.45	0.41	0.48	0.72	0.52	0.55	0.43	0.51
Angola	111/126	0.39	0.42	0.32	0.38	0.57	0.42	0.44	0.35	0.41
Antigua and Barbuda	33/126	0.61	0.61	0.52	0.69	0.78	0.58	0.66	0.56	0.63
Argentina	46/126	0.62	0.52	0.63	0.7	0.62	0.52	0.58	0.45	0.58
Australia	11/126	0.83	0.81	0.82	0.79	0.87	0.81	0.76	0.73	0.8
Austria	7/126	0.84	0.84	0.72	0.85	0.9	0.84	0.78	0.8	0.82
Bahamas	39/126	0.61	0.65	0.5	0.66	0.75	0.51	0.58	0.62	0.61
Bangladesh	112/126	0.42	0.37	0.44	0.33	0.57	0.42	0.39	0.34	0.41
Barbados	29/126	0.65	0.68	0.52	0.74	0.76	0.62	0.65	0.58	0.65
Belarus	66/126	0.36	0.55	0.36	0.47	0.81	0.5	0.6	0.48	0.52
Belgium	14/126	0.83	0.8	0.77	0.84	0.81	0.81	0.76	0.72	0.79
Belize	86/126	0.46	0.44	0.45	0.49	0.73	0.42	0.5	0.34	0.48
Benin	79/126	0.54	0.38	0.39	0.56	0.78	0.51	0.38	0.44	0.5
Bolivia	119/126	0.36	0.26	0.42	0.47	0.59	0.4	0.35	0.21	0.38
Bosnia and Herzegovina	60/126	0.45	0.44	0.47	0.59	0.76	0.49	0.51	0.5	0.53
Botswana	44/126	0.58	0.6	0.48	0.58	0.71	0.6	0.6	0.57	0.59
Brazil	58/126	0.56	0.45	0.62	0.55	0.65	0.52	0.55	0.35	0.53
Bulgaria	54/126	0.46	0.44	0.54	0.6	0.77	0.54	0.56	0.45	0.54
Burkina Faso	73/126	0.55	0.44	0.46	0.57	0.62	0.46	0.46	0.47	0.5
Cambodia	125/126	0.29	0.24	0.27	0.35	0.66	0.29	0.23	0.25	0.32
Cameroon	120/126	0.39	0.27	0.34	0.39	0.51	0.41	0.39	0.28	0.37
Canada	9/126	0.85	0.83	0.81	0.83	0.91	0.81	0.7	0.73	0.81
Chile	25/126	0.72	0.7	0.72	0.73	0.68	0.65	0.63	0.57	0.68
China	82/126	0.33	0.55	0.42	0.32	0.79	0.48	0.54	0.47	0.49
Colombia	80/126	0.53	0.38	0.63	0.53	0.59	0.5	0.48	0.33	0.5
Democratic Republic of the Congo	124/126	0.32	0.18	0.32	0.37	0.48	0.37	0.36	0.27	0.33
Costa Rica	24/126	0.78	0.68	0.71	0.78	0.69	0.68	0.62	0.55	0.69
Cote d'Ivoire	93/126	0.41	0.37	0.37	0.46	0.68	0.52	0.52	0.38	0.46
Croatia	42/126	0.58	0.57	0.61	0.65	0.82	0.55	0.58	0.51	0.61
Czech Republic	19/126	0.73	0.64	0.66	0.78	0.9	0.7	0.7	0.7	0.73
Denmark	1/126	0.95	0.95	0.86	0.92	0.93	0.9	0.87	0.83	0.9
