ScienceRank	Country	Documents	Citable documents	Citations	Self-citations	Citations per document	H index
1	United States	683003	570104	528530	268883	0.77	2222
2	China	599386	569227	399135	273126	0.67	794
3	United Kingdom	211710	172148	187806	60392	0.89	1373
4	Germany	180608	158437	154187	54430	0.85	1203
5	India	171356	152110	75947	33012	0.44	570
6	Japan	131198	118409	75593	25783	0.58	967
7	France	120908	106278	99743	27955	0.82	1094
8	Italy	119405	102581	106761	39371	0.89	953
9	Canada	111561	95047	94958	24325	0.85	1102
10	Australia	106228	89153	99374	28632	0.94	914
11	Russia	99099	95359	34723	17562	0.35	540
12	Spain	96517	84147	79538	23259	0.82	830
13	South Korea	85725	79646	53132	15030	0.62	624
14	Brazil	81742	74195	40512	13508	0.5	530
15	Netherlands	63193	53784	67657	15349	1.07	957
16	Iran	60268	54915	42636	20215	0.71	292
17	Poland	49488	45365	30444	10039	0.62	519
18	Switzerland	48317	41973	56855	12623	1.18	919
19	Turkey	45582	39847	21886	6299	0.48	402
20	Sweden	43956	38073	43731	9277	0.99	825
21	Taiwan	36691	33455	22186	5300	0.6	475
22	Belgium	35099	30295	35709	7162	1.02	748
23	Malaysia	33295	31102	17348	6338	0.52	281
24	Indonesia	32456	31708	9710	6846	0.3	214
25	Denmark	29572	25662	32943	6787	1.11	705
26	Austria	26756	23107	27433	5632	1.03	620
27	Portugal	26611	23023	21239	4794	0.8	457
28	Mexico	25290	22515	12864	3198	0.51	411
29	South Africa	25150	21843	17495	5278	0.7	423
30	Czech Republic	24401	22539	16679	4309	0.68	427
31	Norway	24349	21017	21765	5118	0.89	580
32	Saudi Arabia	23469	21598	22597	5976	0.96	309
33	Israel	22724	19380	20657	3852	0.91	665
34	Singapore	22495	19903	23613	4794	1.05	535
35	Egypt	22018	20074	13995	4257	0.64	260
36	Hong Kong SAR	21849	19571	21733	4304	0.99	517
37	Finland	21438	18750	20352	4513	0.95	609
38	Pakistan	20548	18885	13842	5326	0.67	247
39	Greece	19852	16835	17376	3863	0.88	466
40	Thailand	17943	16485	8581	2042	0.48	311
41	New Zealand	17150	14252	13862	3142	0.81	495
42	Ireland	15589	13111	14251	2682	0.91	488
43	Romania	15227	13982	9115	2649	0.6	271
44	Argentina	14737	13185	9230	1926	0.63	393
45	Chile	14618	13295	11763	3091	0.8	349
46	Ukraine	13514	12914	6080	2601	0.45	252
47	Colombia	12651	11498	6654	1553	0.53	261
48	Hungary	11772	10582	10347	2110	0.88	419
49	Nigeria	9299	8346	4539	1695	0.49	181
50	Viet Nam	8837	7908	5741	1900	0.65	198
51	Tunisia	8706	7790	4103	1034	0.47	174
52	Iraq	8486	8174	3258	1418	0.38	92
53	Slovakia	8240	7757	4561	1128	0.55	263
54	Serbia	7797	7069	5525	1093	0.71	220
55	Algeria	7643	6960	4348	1191	0.57	157
56	United Arab Emirates	7297	6521	4230	783	0.58	190
57	Croatia	7170	6529	5107	1086	0.71	259
58	Morocco	7081	6385	3864	971	0.55	179
59	Slovenia	6262	5729	5616	922	0.9	278
60	Bangladesh	5533	5024	2922	866	0.53	183
61	Bulgaria	5312	4944	3886	670	0.73	240
62	Jordan	4505	4122	2604	848	0.58	156
63	Ecuador	4376	4131	2319	646	0.53	149
64	Qatar	3971	3550	4140	780	1.04	147
65	Kazakhstan	3819	3606	1917	399	0.5	95
66	Lithuania	3813	3523	3413	596	0.9	203
67	Philippines	3775	3398	2205	375	0.58	224
68	Lebanon	3568	3081	1993	356	0.56	190
69	Ethiopia	3514	3223	1863	494	0.53	136
70	Peru	3385	2953	1852	412	0.55	212
71	Estonia	3369	2975	3980	663	1.18	255
72	Kenya	3209	2840	2414	565	0.75	233
73	Ghana	3017	2624	1727	389	0.57	142
